DATE,Price,,,,,
12/01/2024,"5,948.97",,,,,
11/01/2024,"6,032.38",,,,,
10/01/2024,"5,705.45",,,,,
09/01/2024,"5,762.48",,,,,
08/01/2024,"5,648.40",,,,,
07/01/2024,"5,522.30",,,,,
06/01/2024,"5,460.48",,,,,
05/01/2024,"5,277.51",,,,,
04/01/2024,"5,035.69",,,,,
03/01/2024,"5,254.35",,,,,
02/01/2024,"5,096.27",,,,,
01/01/2024,"4,845.65",,,,,
12/01/2023,"4,769.83",,,,,
11/01/2023,"4,567.80",,,,,
10/01/2023,"4,193.80",,,,,
09/01/2023,"4,288.05",,,,,
08/01/2023,"4,507.66",,,,,
07/01/2023,"4,588.96",,,,,
06/01/2023,"4,450.38",,,,,
05/01/2023,"4,179.83",,,,,
04/01/2023,"4,169.48",,,,,
03/01/2023,"4,109.31",,,,,
02/01/2023,"3,970.15",,,,,
01/01/2023,"4,076.60",,,,,
12/01/2022,"3,839.50",,,,,
11/01/2022,"4,080.11",,,,,
10/01/2022,"3,871.98",,,,,
09/01/2022,"3,585.62",,,,,
08/01/2022,"3,955.00",,,,,
07/01/2022,"4,130.29",,,,,
06/01/2022,"3,785.38",,,,,
05/01/2022,"4,132.15",,,,,
04/01/2022,"4,131.93",,,,,
03/01/2022,"4,530.41",,,,,
02/01/2022,"4,373.94",,,,,
01/01/2022,"4,515.55",,,,,
12/01/2021,"4,766.18",,,,,
11/01/2021,"4,567.00",,,,,
10/01/2021,"4,605.38",,,,,
09/01/2021,"4,307.54",,,,,
08/01/2021,"4,522.68",,,,,
07/01/2021,"4,395.26",,,,,
06/01/2021,"4,297.50",,,,,
05/01/2021,"4,204.11",,,,,
04/01/2021,"4,181.17",,,,,
03/01/2021,"3,972.89",,,,,
02/01/2021,"3,811.15",,,,,
01/01/2021,"3,714.24",,,,,
12/01/2020,"3,756.07",,,,,
11/01/2020,"3,621.63",,,,,
10/01/2020,"3,269.96",,,,,
09/01/2020,"3,363.00",,,,,
08/01/2020,"3,500.31",,,,,
07/01/2020,"3,271.12",,,,,
06/01/2020,"3,100.29",,,,,
05/01/2020,"3,044.31",,,,,
04/01/2020,"2,912.43",,,,,
03/01/2020,"2,584.59",,,,,
02/01/2020,"2,954.22",,,,,
01/01/2020,"3,225.52",,,,,
12/01/2019,"3,230.78",,,,,
11/01/2019,"3,140.98",,,,,
10/01/2019,"3,037.56",,,,,
09/01/2019,"2,976.74",,,,,
08/01/2019,"2,926.46",,,,,
07/01/2019,"2,980.38",,,,,
06/01/2019,"2,941.76",,,,,
05/01/2019,"2,752.06",,,,,
04/01/2019,"2,945.83",,,,,
03/01/2019,"2,834.40",,,,,
02/01/2019,"2,784.49",,,,,
01/01/2019,"2,704.10",,,,,
12/01/2018,"2,506.85",,,,,
11/01/2018,"2,760.17",,,,,
10/01/2018,"2,711.74",,,,,
09/01/2018,"2,913.98",,,,,
08/01/2018,"2,901.52",,,,,
07/01/2018,"2,816.29",,,,,
06/01/2018,"2,718.37",,,,,
05/01/2018,"2,705.27",,,,,
04/01/2018,"2,648.05",,,,,
03/01/2018,"2,640.87",,,,,
02/01/2018,"2,713.83",,,,,
01/01/2018,"2,823.81",,,,,
12/01/2017,"2,673.61",,,,,
11/01/2017,"2,647.58",,,,,
10/01/2017,"2,575.26",,,,,
09/01/2017,"2,519.36",,,,,
08/01/2017,"2,471.65",,,,,
07/01/2017,"2,470.30",,,,,
06/01/2017,"2,423.41",,,,,
05/01/2017,"2,411.80",,,,,
04/01/2017,"2,384.20",,,,,
03/01/2017,"2,362.72",,,,,
02/01/2017,"2,363.64",,,,,
01/01/2017,"2,278.87",,,,,
12/01/2016,"2,238.83",,,,,
11/01/2016,"2,198.81",,,,,
10/01/2016,"2,126.15",,,,,
09/01/2016,"2,168.27",,,,,
08/01/2016,"2,170.95",,,,,
07/01/2016,"2,173.60",,,,,
06/01/2016,"2,098.86",,,,,
05/01/2016,"2,096.96",,,,,
04/01/2016,"2,065.30",,,,,
03/01/2016,"2,059.74",,,,,
02/01/2016,"1,932.23",,,,,
01/01/2016,"1,940.24",,,,,
12/01/2015,"2,043.94",,,,,
11/01/2015,"2,080.41",,,,,
10/01/2015,"2,079.36",,,,,
09/01/2015,"1,920.03",,,,,
08/01/2015,"1,972.18",,,,,
07/01/2015,"2,103.84",,,,,
06/01/2015,"2,063.11",,,,,
05/01/2015,"2,107.39",,,,,
04/01/2015,"2,085.51",,,,,
03/01/2015,"2,067.89",,,,,
02/01/2015,"2,104.50",,,,,
01/01/2015,"1,994.99",,,,,
12/01/2014,"2,058.90",,,,,
11/01/2014,"2,067.56",,,,,
10/01/2014,"2,018.05",,,,,
09/01/2014,"1,972.29",,,,,
08/01/2014,"2,003.37",,,,,
07/01/2014,"1,930.67",,,,,
06/01/2014,"1,960.23",,,,,
05/01/2014,"1,923.57",,,,,
04/01/2014,"1,883.95",,,,,
03/01/2014,"1,872.34",,,,,
02/01/2014,"1,859.45",,,,,
01/01/2014,"1,782.60",,,,,
12/01/2013,"1,848.40",,,,,
11/01/2013,"1,805.80",,,,,
10/01/2013,"1,756.50",,,,,
09/01/2013,"1,681.50",,,,,
08/01/2013,"1,633.00",,,,,
07/01/2013,"1,685.70",,,,,
06/01/2013,"1,606.30",,,,,
05/01/2013,"1,630.70",,,,,
04/01/2013,"1,597.60",,,,,
03/01/2013,"1,569.20",,,,,
02/01/2013,"1,514.70",,,,,
01/01/2013,"1,498.10",,,,,
12/01/2012,"1,426.20",,,,,
11/01/2012,"1,416.20",,,,,
10/01/2012,"1,412.20",,,,,
09/01/2012,"1,440.70",,,,,
08/01/2012,"1,406.60",,,,,
07/01/2012,"1,379.30",,,,,
06/01/2012,"1,362.20",,,,,
05/01/2012,"1,310.30",,,,,
04/01/2012,"1,397.90",,,,,
03/01/2012,"1,408.50",,,,,
02/01/2012,"1,365.70",,,,,
01/01/2012,"1,312.40",,,,,
12/01/2011,"1,257.60",,,,,
11/01/2011,"1,247.00",,,,,
10/01/2011,"1,253.30",,,,,
09/01/2011,"1,131.40",,,,,
08/01/2011,"1,218.90",,,,,
07/01/2011,"1,292.30",,,,,
06/01/2011,"1,320.60",,,,,
05/01/2011,"1,345.20",,,,,
04/01/2011,"1,363.60",,,,,
03/01/2011,"1,325.80",,,,,
02/01/2011,"1,327.20",,,,,
01/01/2011,"1,286.10",,,,,
12/01/2010,"1,257.60",,,,,
11/01/2010,"1,180.50",,,,,
10/01/2010,"1,183.30",,,,,
09/01/2010,"1,141.20",,,,,
08/01/2010,"1,049.30",,,,,
07/01/2010,"1,101.60",,,,,
06/01/2010,"1,030.70",,,,,
05/01/2010,"1,089.40",,,,,
04/01/2010,"1,186.70",,,,,
03/01/2010,"1,169.40",,,,,
02/01/2010,"1,104.50",,,,,
01/01/2010,"1,073.90",,,,,
12/01/2009,"1,115.10",,,,,
11/01/2009,"1,095.60",,,,,
10/01/2009,"1,036.20",,,,,
09/01/2009,"1,057.10",,,,,
08/01/2009,"1,020.60",,,,,
07/01/2009,987.5,,,,,
06/01/2009,919.3,,,,,
05/01/2009,919.1,,,,,
04/01/2009,872.8,,,,,
03/01/2009,797.9,,,,,
02/01/2009,735.1,,,,,
01/01/2009,825.9,,,,,
12/01/2008,903.2,,,,,
11/01/2008,896.2,,,,,
10/01/2008,968.8,,,,,
09/01/2008,"1,166.40",,,,,
08/01/2008,"1,282.80",,,,,
07/01/2008,"1,267.40",,,,,
06/01/2008,"1,280.00",,,,,
05/01/2008,"1,400.40",,,,,
04/01/2008,"1,385.60",,,,,
03/01/2008,"1,322.70",,,,,
02/01/2008,"1,330.60",,,,,
01/01/2008,"1,378.50",,,,,
12/01/2007,"1,468.40",,,,,
11/01/2007,"1,481.10",,,,,
10/01/2007,"1,549.40",,,,,
09/01/2007,"1,526.80",,,,,
08/01/2007,"1,474.00",,,,,
07/01/2007,"1,455.30",,,,,
06/01/2007,"1,503.30",,,,,
05/01/2007,"1,530.60",,,,,
04/01/2007,"1,482.40",,,,,
03/01/2007,"1,420.90",,,,,
02/01/2007,"1,406.80",,,,,
01/01/2007,"1,438.20",,,,,
12/01/2006,"1,418.30",,,,,
11/01/2006,"1,400.60",,,,,
10/01/2006,"1,377.90",,,,,
09/01/2006,"1,335.80",,,,,
08/01/2006,"1,303.80",,,,,
07/01/2006,"1,276.70",,,,,
06/01/2006,"1,270.20",,,,,
05/01/2006,"1,270.10",,,,,
04/01/2006,"1,310.60",,,,,
03/01/2006,"1,294.80",,,,,
02/01/2006,"1,280.70",,,,,
01/01/2006,"1,280.10",,,,,
12/01/2005,"1,248.30",,,,,
11/01/2005,"1,249.50",,,,,
10/01/2005,"1,207.00",,,,,
09/01/2005,"1,228.80",,,,,
08/01/2005,"1,220.30",,,,,
07/01/2005,"1,234.20",,,,,
06/01/2005,"1,191.30",,,,,
05/01/2005,"1,191.50",,,,,
04/01/2005,"1,156.80",,,,,
03/01/2005,"1,180.60",,,,,
02/01/2005,"1,203.60",,,,,
01/01/2005,"1,181.30",,,,,
12/01/2004,"1,211.90",,,,,
11/01/2004,"1,173.80",,,,,
10/01/2004,"1,130.20",,,,,
09/01/2004,"1,114.60",,,,,
08/01/2004,"1,104.20",,,,,
07/01/2004,"1,101.70",,,,,
06/01/2004,"1,140.80",,,,,
05/01/2004,"1,120.70",,,,,
04/01/2004,"1,107.30",,,,,
03/01/2004,"1,126.20",,,,,
02/01/2004,"1,144.90",,,,,
01/01/2004,"1,131.10",,,,,
12/01/2003,"1,111.90",,,,,
11/01/2003,"1,058.20",,,,,
10/01/2003,"1,050.70",,,,,
09/01/2003,996,,,,,
08/01/2003,"1,008.00",,,,,
07/01/2003,990.3,,,,,
06/01/2003,974.5,,,,,
05/01/2003,963.6,,,,,
04/01/2003,916.9,,,,,
03/01/2003,848.2,,,,,
02/01/2003,841.1,,,,,
01/01/2003,855.7,,,,,
12/01/2002,879.8,,,,,
11/01/2002,936.3,,,,,
10/01/2002,885.8,,,,,
09/01/2002,815.3,,,,,
08/01/2002,916.1,,,,,
07/01/2002,911.6,,,,,
06/01/2002,989.8,,,,,
05/01/2002,"1,067.10",,,,,
04/01/2002,"1,076.90",,,,,
03/01/2002,"1,147.40",,,,,
02/01/2002,"1,106.70",,,,,
01/01/2002,"1,130.20",,,,,
12/01/2001,"1,148.10",,,,,
11/01/2001,"1,139.50",,,,,
10/01/2001,"1,059.80",,,,,
09/01/2001,"1,040.90",,,,,
08/01/2001,"1,133.60",,,,,
07/01/2001,"1,211.20",,,,,
06/01/2001,"1,224.40",,,,,
05/01/2001,"1,255.80",,,,,
04/01/2001,"1,249.50",,,,,
03/01/2001,"1,160.30",,,,,
02/01/2001,"1,239.90",,,,,
01/01/2001,"1,366.00",,,,,
12/01/2000,"1,320.30",,,,,
11/01/2000,"1,315.00",,,,,
10/01/2000,"1,429.40",,,,,
09/01/2000,"1,436.50",,,,,
08/01/2000,"1,517.70",,,,,
07/01/2000,"1,430.80",,,,,
06/01/2000,"1,454.60",,,,,
05/01/2000,"1,420.60",,,,,
04/01/2000,"1,452.40",,,,,
03/01/2000,"1,498.60",,,,,
02/01/2000,"1,366.40",,,,,
01/01/2000,"1,394.50",,,,,
12/01/1999,"1,469.20",,,,,
11/01/1999,"1,388.90",,,,,
10/01/1999,"1,362.90",,,,,
09/01/1999,"1,282.70",,,,,
08/01/1999,"1,320.40",,,,,
07/01/1999,"1,328.70",,,,,
06/01/1999,"1,372.70",,,,,
05/01/1999,"1,301.80",,,,,
04/01/1999,"1,335.20",,,,,
03/01/1999,"1,286.40",,,,,
02/01/1999,"1,238.30",,,,,
01/01/1999,"1,279.60",,,,,
12/01/1998,"1,229.20",,,,,
11/01/1998,"1,163.60",,,,,
10/01/1998,"1,098.70",,,,,
09/01/1998,"1,017.00",,,,,
08/01/1998,957.3,,,,,
07/01/1998,"1,120.70",,,,,
06/01/1998,"1,133.80",,,,,
05/01/1998,"1,090.80",,,,,
04/01/1998,"1,111.80",,,,,
03/01/1998,"1,101.80",,,,,
02/01/1998,"1,049.30",,,,,
01/01/1998,980.3,,,,,
12/01/1997,970.4,,,,,
11/01/1997,955.4,,,,,
10/01/1997,914.6,,,,,
09/01/1997,947.3,,,,,
08/01/1997,899.5,,,,,
07/01/1997,954.3,,,,,
06/01/1997,885.1,,,,,
05/01/1997,848.3,,,,,
04/01/1997,801.3,,,,,
03/01/1997,757.1,,,,,
02/01/1997,790.8,,,,,
01/01/1997,786.2,,,,,
12/01/1996,740.7,,,,,
11/01/1996,757,,,,,
10/01/1996,705.3,,,,,
09/01/1996,687.3,,,,,
08/01/1996,652,,,,,
07/01/1996,640,,,,,
06/01/1996,670.6,,,,,
05/01/1996,669.1,,,,,
04/01/1996,654.2,,,,,
03/01/1996,645.5,,,,,
02/01/1996,640.4,,,,,
01/01/1996,636,,,,,
12/01/1995,615.9,,,,,
11/01/1995,605.4,,,,,
10/01/1995,581.5,,,,,
09/01/1995,584.4,,,,,
08/01/1995,561.9,,,,,
07/01/1995,562.1,,,,,
06/01/1995,544.8,,,,,
05/01/1995,533.4,,,,,
04/01/1995,514.7,,,,,
03/01/1995,500.7,,,,,
02/01/1995,487.4,,,,,
01/01/1995,470.4,,,,,
12/01/1994,459.3,,,,,
11/01/1994,453.7,,,,,
10/01/1994,472.4,,,,,
09/01/1994,462.7,,,,,
08/01/1994,475.5,,,,,
07/01/1994,458.3,,,,,
06/01/1994,444.3,,,,,
05/01/1994,456.5,,,,,
04/01/1994,450.9,,,,,
03/01/1994,445.8,,,,,
02/01/1994,467.1,,,,,
01/01/1994,481.6,,,,,
12/01/1993,466.4,,,,,
11/01/1993,461.8,,,,,
10/01/1993,467.8,,,,,
09/01/1993,458.9,,,,,
08/01/1993,463.6,,,,,
07/01/1993,448.1,,,,,
06/01/1993,450.5,,,,,
05/01/1993,450.2,,,,,
04/01/1993,440.2,,,,,
03/01/1993,451.7,,,,,
02/01/1993,443.4,,,,,
01/01/1993,438.8,,,,,
12/01/1992,435.7,,,,,
11/01/1992,431.4,,,,,
10/01/1992,418.7,,,,,
09/01/1992,417.8,,,,,
08/01/1992,414,,,,,
07/01/1992,424.2,,,,,
06/01/1992,408.1,,,,,
05/01/1992,415.4,,,,,
04/01/1992,414.9,,,,,
03/01/1992,403.7,,,,,
02/01/1992,412.7,,,,,
01/01/1992,408.8,,,,,
12/01/1991,417.1,,,,,
11/01/1991,375.2,,,,,
10/01/1991,392.5,,,,,
09/01/1991,387.9,,,,,
08/01/1991,395.4,,,,,
07/01/1991,387.8,,,,,
06/01/1991,371.2,,,,,
05/01/1991,389.8,,,,,
04/01/1991,375.4,,,,,
03/01/1991,375.2,,,,,
02/01/1991,367.1,,,,,
01/01/1991,343.9,,,,,
12/01/1990,330.2,,,,,
11/01/1990,322.2,,,,,
10/01/1990,304,,,,,
09/01/1990,306.1,,,,,
08/01/1990,322.6,,,,,
07/01/1990,356.1,,,,,
06/01/1990,358,,,,,
05/01/1990,361.2,,,,,
04/01/1990,330.8,,,,,
03/01/1990,339.9,,,,,
02/01/1990,331.9,,,,,
01/01/1990,329.1,,,,,
12/01/1989,353.4,,,,,
11/01/1989,346,,,,,
10/01/1989,340.4,,,,,
09/01/1989,349.1,,,,,
08/01/1989,351.4,,,,,
07/01/1989,346.1,,,,,
06/01/1989,318,,,,,
05/01/1989,320.5,,,,,
04/01/1989,309.6,,,,,
03/01/1989,294.9,,,,,
02/01/1989,288.9,,,,,
01/01/1989,297.5,,,,,
12/01/1988,277.7,,,,,
11/01/1988,273.7,,,,,
10/01/1988,279,,,,,
09/01/1988,271.9,,,,,
08/01/1988,261.5,,,,,
07/01/1988,272,,,,,
06/01/1988,273.5,,,,,
05/01/1988,262.2,,,,,
04/01/1988,261.3,,,,,
03/01/1988,258.9,,,,,
02/01/1988,267.8,,,,,
01/01/1988,257.1,,,,,
12/01/1987,247.1,,,,,
11/01/1987,230.3,,,,,
10/01/1987,251.8,,,,,
09/01/1987,321.8,,,,,
08/01/1987,329.8,,,,,
07/01/1987,318.7,,,,,
06/01/1987,304,,,,,
05/01/1987,290.1,,,,,
04/01/1987,288.4,,,,,
03/01/1987,291.7,,,,,
02/01/1987,284.2,,,,,
01/01/1987,274.1,,,,,
12/01/1986,242.2,,,,,
11/01/1986,249.2,,,,,
10/01/1986,244,,,,,
09/01/1986,231.3,,,,,
08/01/1986,252.9,,,,,
07/01/1986,236.1,,,,,
06/01/1986,250.8,,,,,
05/01/1986,247.3,,,,,
04/01/1986,235.5,,,,,
03/01/1986,238.9,,,,,
02/01/1986,226.9,,,,,
01/01/1986,211.8,,,,,
12/01/1985,211.3,,,,,
11/01/1985,202.2,,,,,
10/01/1985,189.8,,,,,
09/01/1985,182.1,,,,,
08/01/1985,188.6,,,,,
07/01/1985,190.9,,,,,
06/01/1985,191.8,,,,,
05/01/1985,189.6,,,,,
04/01/1985,179.8,,,,,
03/01/1985,180.7,,,,,
02/01/1985,181.2,,,,,
01/01/1985,179.6,,,,,
12/01/1984,167.2,,,,,
11/01/1984,163.6,,,,,
10/01/1984,166.1,,,,,
09/01/1984,166.1,,,,,
08/01/1984,166.7,,,,,
07/01/1984,150.7,,,,,
06/01/1984,153.2,,,,,
05/01/1984,150.6,,,,,
04/01/1984,160.1,,,,,
03/01/1984,159.2,,,,,
02/01/1984,157.1,,,,,
01/01/1984,163.4,,,,,
12/01/1983,164.9,,,,,
11/01/1983,166.4,,,,,
10/01/1983,163.6,,,,,
09/01/1983,166.1,,,,,
08/01/1983,164.4,,,,,
07/01/1983,162.6,,,,,
06/01/1983,168.1,,,,,
05/01/1983,162.4,,,,,
04/01/1983,164.4,,,,,
03/01/1983,153,,,,,
02/01/1983,148.1,,,,,
01/01/1983,145.3,,,,,
12/01/1982,140.6,,,,,
11/01/1982,138.5,,,,,
10/01/1982,133.7,,,,,
09/01/1982,120.4,,,,,
08/01/1982,119.5,,,,,
07/01/1982,107.1,,,,,
06/01/1982,109.6,,,,,
05/01/1982,111.9,,,,,
04/01/1982,116.4,,,,,
03/01/1982,112,,,,,
02/01/1982,113.1,,,,,
01/01/1982,120.4,,,,,
12/01/1981,122.6,,,,,
11/01/1981,126.3,,,,,
10/01/1981,121.9,,,,,
09/01/1981,116.2,,,,,
08/01/1981,122.8,,,,,
07/01/1981,130.9,,,,,
06/01/1981,131.2,,,,,
05/01/1981,132.6,,,,,
04/01/1981,132.8,,,,,
03/01/1981,136,,,,,
02/01/1981,131.3,,,,,
01/01/1981,129.6,,,,,
12/01/1980,135.8,,,,,
11/01/1980,140.5,,,,,
10/01/1980,127.5,,,,,
09/01/1980,125.5,,,,,
08/01/1980,122.4,,,,,
07/01/1980,121.7,,,,,
06/01/1980,114.2,,,,,
05/01/1980,111.2,,,,,
04/01/1980,106.3,,,,,
03/01/1980,102.1,,,,,
02/01/1980,113.7,,,,,
01/01/1980,114.2,,,,,